name	id	x_pca	y_pca	z_pca	x_tsne	y_tsne	z_tsne	x_k2	y_k2	z_k2	cl_pca	cl_tsne	cl_k2	cl_kn
refers to a thought or a consideration in support of an opinion . Observe the usage of the word ‘ reason ’ in the sentences given below : 1 . What is the reason for your decision ? 2 . You may give me the reason behind your suggestion . In both sentences given above the word ‘ reason ’ is used in the sense of ‘ a thought ’ in support of an opinion or a decision	121	0.7193604	0.34291837	-0.4079028	-11.374746	4.634435	203.80927	0.37100255	0.056629684	0.4389324	-1	-1	-1	-1
abstract terms	97	2.0431378	-1.4021418	0.54796875	-6.0522175	-57.256752	111.9849	-0.48780558	-0.23237208	-0.3743504	-1	-1	0	-1
: An excuse justifies the fault	52	-0.6631106	0.055957638	-0.007922391	-76.75252	-192.80446	-11.200409	0.45615456	0.27147993	0.43433115	-1	-1	1	-1
is external in sense	137	1.7820368	1.7870984	-0.35205773	127.241844	-23.553308	-110.18631	-0.3199402	-0.22885112	-0.36686674	-1	-1	0	-1
also includes the quality of being sincere	37	1.1127163	-0.6912004	-0.22133055	-23.722082	-108.88479	-102.99382	0.70046294	0.06126204	0.44391626	-1	-1	-1	-1
is the one that has been found out with the help of the discovered facts	83	-0.26545486	-0.021446971	-0.38393605	-12.0407	60.4113	63.356754	-0.05656053	0.34649262	-0.38458294	-1	-1	-1	-1
is used in situations where you mean to say sufficient	93	-0.72023535	-0.42116034	0.4067165	-116.86697	-79.36051	139.42325	-0.6314296	0.79957604	-0.039320905	-1	-1	-1	-1
the refers to the process of deriving generalizations from specific observations	32	-1.0064883	-0.09901874	-0.07427521	-110.71985	-41.791885	57.151783	0.42521858	0.83718294	-0.023849659	-1	-1	-1	-1
can be either tangible , intangible , movable or immovable	145	-0.9875811	0.14763343	0.38794714	-36.03683	-142.71825	136.95387	0.54701114	0.5763458	0.11601011	-1	-1	1	-1
can not change in a short period of time	22	-0.4240259	0.30709013	0.7181426	29.00148	9.755612	-148.14577	-0.48999453	0.32038933	0.29625812	-1	-1	-1	-1
